Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2021;18.646
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2020;17.679
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2019;16.473
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2018;16.475
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2017;16.347
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2016;15.706
24002 Algadefe;2400201 Algadefe distrito 01;;Media de la renta por unidad de consumo;2015;14.386
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2023;16.450
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2022;15.050
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2021;15.750
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2020;15.050
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2019;15.050
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2018;14.350
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2017;13.650
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2016;12.950
24002 Algadefe;2400201 Algadefe distrito 01;;Mediana de la renta por unidad de consumo;2015;12.950
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2023;19.293
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2022;16.401
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2021;14.338
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2020;14.031
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2019;12.700
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2018;12.486
24002 Algadefe;2400201 Algadefe distrito 01;;Renta bruta media por persona;2017;12.453
