CUSEC_origen;centro_id;CUSEC_servicio;distancia
0501904005;127;0516802001;27426,937
0501904005;1140;0520401001;28575,871
0501904005;620;0522001001;21942,324
0501904005;1009;0523801001;22313,756
0501904005;156;4022501001;26087,878
0501904006;718;0501902002;681,884
0501904006;1517;0501904002;369,678
0501904006;141;0501904005;312,531
0501904006;1527;0501904005;312,531
0501904006;1358;0501904006;0,000
0501904006;363;0501904009;549,357
0501904006;722;0501906001;680,078
0501904006;119;0501903002;4997,866
0501904006;263;0501904011;1496,315
0501904006;1256;0501905004;1406,704
0501904006;1108;0501906002;1119,105
0501904006;1274;0501906005;1025,048
0501904006;637;0501906008;1625,377
0501904006;1359;0501906008;1625,377
0501904006;702;0501906006;1122,117
0501904006;438;0501901002;6673,369
0501904006;312;0504901001;9977,951
0501904006;621;0507601001;5914,101
0501904006;626;0512801001;12707,705
0501904006;120;0502201002;28931,151
0501904006;1524;0502201002;28931,151
0501904006;309;0505901001;25389,051
0501904006;136;0510201002;26144,733
0501904006;302;0513501001;28226,080
0501904006;1415;0513801001;18671,557
0501904006;320;0515801001;21420,550
0501904006;1414;0516101001;22199,841
0501904006;674;0516301002;27735,615
0501904006;1269;0516301002;27735,615
0501904006;127;0516802001;27669,237
0501904006;1140;0520401001;28427,816
0501904006;620;0522001001;21629,795
0501904006;1009;0523801001;22259,645
0501904006;156;4022501001;26172,528
0501904008;141;0501904005;570,661
0501904008;1527;0501904005;570,661
0501904008;1358;0501904006;805,794
0501904008;363;0501904009;855,434
0501904008;718;0501902002;1233,601
