CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
3710001001;132;190,682;1969;0,02;0,68;21,01;1673
3710101001;220;173,464;1969;0,01;0,54;19,17;1674
3710201001;477;135,438;1963;0,02;0,49;1,88;1675
3710301001;594;210,569;1980;0,02;0,6;12,72;1676
3710401001;27;176,37;1956;0,02;0,54;16,67;1677
3710601001;338;166,411;1970;0,02;0,66;19,93;1678
3710701001;597;149,621;1971;0,02;0,76;6,14;1679
3710701002;428;150,035;1974;0,02;0,78;10,63;1680
3710702001;910;125,019;1985;0,01;0,67;2,73;1681
3710702002;828;117,705;1980;0,01;0,47;2,84;1682
3710702003;888;137,382;1983;0,01;0,65;3,68;1683
3710702004;1146;134,329;1987;0,01;0,51;1,61;1684
3710702005;828;126,908;1980;0,01;0,63;2,87;1685
3710702006;903;144,035;1975;0,01;0,67;8,8;1686
3710702007;798;167,391;1985;0,01;0,61;2,03;1687
3710702008;662;133,36;1986;0,01;0,51;2,31;1688
3710703001;650;147,334;1970;0,01;0,66;8,67;1689
3710801001;80;258,288;1944;0,02;0,54;10,39;1690
3710901001;222;165,288;1966;0,02;0,56;12,82;1691
3711001001;57;245,877;1956;0,03;0,63;43,18;1692
3711201001;215;190,809;1971;0,02;0,58;16,4;1693
3711301001;223;185,197;1974;0,02;0,57;34,69;1694
3711401001;46;170,522;1899;0,03;0,81;22,73;1695
3711501001;117;235,786;1972;0,02;0,5;21,95;1696
3711601001;47;218,915;1973;0,02;0,83;48,39;1697
3711701001;1011;182,865;1995;0,01;0,48;6,19;1698
3711801001;125;170,464;1959;0,02;0,53;39,62;1699
3711901001;189;173,725;1972;0,02;0,5;7,88;1700
3712001001;104;184,298;1984;0,03;0,66;43,33;1701
3712101001;403;158,149;1990;0,01;0,76;16,49;1702
3712201001;92;174,424;1971;0,02;0,61;20,59;1703
3712301001;173;198,382;1970;0,02;0,58;5,63;1704
3712401001;246;190,459;1967;0,02;0,5;29,9;1705
3712501001;299;199,365;1974;0,02;0,5;4,69;1706
