CP,lat,lon,CUSEC
05600,40.3571,-5.5237,0502101001
05610,40.4043,-5.6357,0502401001
05619,40.4216,-5.634425,0512401001
05620,40.35022,-5.56624,0505101001
05621,40.31445,-5.623066666666666,0523601001
05630,40.3451875,-5.3956,0590401001
05631,40.362833333333334,-5.30205,0526701001
05633,40.3601,-5.249,0590101001
05634,40.3578,-5.18765,0510501001
05635,40.3634,-5.14445,0516501001
05690,40.3219,-5.46508,0503701001
05691,40.34636,-5.5947000000000005,0523601001
05692,40.3962,-5.527,0511201001
05693,40.31091428571428,-5.5842857142857145,0524901001
05694,40.40505,-5.58115,0510801001
05695,40.4365,-5.466,0509701001
05696,40.40435,-5.484816666666667,0509701001
05697,40.30295,-5.5234875,0524401001
09001,42.3378,-3.7188,0905908011
09002,42.337,-3.6929,0905907005
09003,42.3429,-3.7082,0905904003
09004,42.3436,-3.6933,0905905026
09005,42.348,-3.6971,0905905005
09006,42.3558,-3.6834,0905905030
09007,42.3537,-3.6637,0905909028
09070,42.3502,-3.6753,0905909001
09071,42.3502,-3.6753,0905909001
09080,42.3502,-3.6753,0905909001
09100,42.4044,-4.2448,0921101001
09107,42.32475,-4.2273249999999996,0924701001
09108,42.480725,-4.2174125,0921101001
09109,42.361540000000005,-4.12826,0946001001
09110,42.28855,-4.13845,0909101001
09118,42.2274,-4.0086,0945601001
09119,42.24323333333333,-4.136816666666667,0945501001
09120,42.5159,-4.009,0942701001
09121,42.4376,-4.2574,0921101001
09123,42.39608333333333,-4.027916666666667,0936301001
09124,42.61557058823529,-4.0736,0917501001
09125,42.597905555555556,-3.8974611111111113,0904501001
09126,42.701800000000006,-4.0045,0904501001
09127,42.71772,-4.0869333333333335,0941501001
09128,42.4692,-4.081966666666667,0947301001
09129,42.56482222222222,-3.9149333333333334,0942701002
09130,42.34455,-3.82615,0930401001
09131,42.40941818181818,-3.8248363636363636,0990701001
09133,42.48843846153846,-3.9471923076923074,0938201001
09135,42.56168333333333,-4.206366666666667,0937301001
09136,42.63972,-4.20068,0937301001
09140,42.43492,-3.69176,0928701001
09141,42.55599375,-3.6594375,0990601001
09142,42.6876,-3.7372111111111113,0990501001
09143,42.71277142857143,-3.8382,0939501001
09144,42.7432,-3.8897399999999998,0936101001
09145,42.80036,-3.7732799999999997,0990501001
09146,42.84102307692308,-3.7352461538461537,0901401001
09150,42.49249090909091,-3.773318181818182,0990201001
09159,42.4578,-3.8111,0990201001
09191,42.407525,-3.61635,0917601001
09192,42.373560000000005,-3.5817799999999997,0907501001
09193,42.314659999999996,-3.62322,0907401001
09194,42.2569375,-3.6060499999999998,0917701001
09195,42.303020000000004,-3.7453000000000003,0945801001
09196,42.297650000000004,-3.7977499999999997,0933801001
09197,42.405950000000004,-3.7228,0990601001
09198,42.2821,-3.50255,0917701001
09199,42.34298947368421,-3.4612315789473684,0946301001
09200,42.6916,-2.9371,0921904002
09210,42.8003,-3.2749333333333333,0941201001
09211,42.73856153846154,-3.264830769230769,0941201001
09212,42.801995454545455,-3.2322136363636362,0941201001
09213,42.7990125,-3.32905,0941201001
09214,42.74345,-3.0774999999999997,0905401001
09215,42.73992,-2.7454066666666668,0910901001
09216,42.70588333333333,-2.638758333333333,0910901001
09217,42.71718333333333,-2.7133583333333333,0910901001
09218,42.6858,-2.851933333333333,0910901001
09219,42.674495,-3.040445,0934701001
09220,42.2055,-3.9874,0925001001
09221,42.5949,-4.3303,3408301001
09226,42.2034375,-3.9941625,0904101001
