Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2023;46,7
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2022;52,9
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2021;47,1
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2020;47,1
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de hogares unipersonales;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2023;28
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2022;28
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2021;29
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2020;29
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Población;2015;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2023;96,4
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2022;96,4
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2021;96,6
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2020;96,6
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2019;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2018;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2017;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2016;.
09001 Abajas;0900101 Abajas distrito 01;0900101001 Abajas sección 01001;Porcentaje de población española;2015;.
09003 Adrada de Haza;;;Edad media de la población;2023;51,4
09003 Adrada de Haza;;;Edad media de la población;2022;50,3
09003 Adrada de Haza;;;Edad media de la población;2021;50,5
09003 Adrada de Haza;;;Edad media de la población;2020;50,1
09003 Adrada de Haza;;;Edad media de la población;2019;51,3
09003 Adrada de Haza;;;Edad media de la población;2018;51,7
09003 Adrada de Haza;;;Edad media de la población;2017;51,8
09003 Adrada de Haza;;;Edad media de la población;2016;52,5
09003 Adrada de Haza;;;Edad media de la población;2015;51,6
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2023;6,8
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2022;8,4
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2021;8,5
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2020;9,1
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2019;8,4
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2018;6,9
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2017;8,7
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2016;8,6
09003 Adrada de Haza;;;Porcentaje de población menor de 18 años;2015;9,1
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2023;30,2
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2022;30,2
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2021;30,4
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2020;28,9
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2019;30,2
09003 Adrada de Haza;;;Porcentaje de población de 65 y más años;2018;31,5
