Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2019;14,2
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2018;14,7
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2017;14
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2016;14,1
24065 Chozas de Abajo;;;Porcentaje de población menor de 18 años;2015;14
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2023;23,9
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2022;23,2
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2021;23,4
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2020;23,8
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2019;24,6
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2018;23,8
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2017;24,2
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2016;24,3
24065 Chozas de Abajo;;;Porcentaje de población de 65 y más años;2015;24,1
24065 Chozas de Abajo;;;Tamaño medio del hogar;2023;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2022;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2021;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2020;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2019;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2018;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2017;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2016;2,3
24065 Chozas de Abajo;;;Tamaño medio del hogar;2015;2,3
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2023;32,4
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2022;31,9
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2021;33
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2020;33,4
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2019;33,3
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2018;33,9
24065 Chozas de Abajo;;;Porcentaje de hogares unipersonales;2017;35,3
