servicio_id;distancia;Seccion_id
6218;6309,398;39
6224;6309,398;39
24;8100,961;39
764;8100,961;39
1200;8100,961;39
2056;8100,961;39
2909;8100,961;39
3498;8100,961;39
4993;8100,961;39
6220;8100,961;39
1215;17804,247;39
335;0,000;40
1203;0,000;40
2057;0,000;40
2058;0,000;40
3481;0,000;40
7187;0,000;40
7195;0,000;40
7736;0,000;40
52;11106,962;40
333;11106,962;40
1204;11106,962;40
2054;11106,962;40
3487;11106,962;40
3494;11106,962;40
4437;11106,962;40
4994;11106,962;40
5317;11106,962;40
5320;11106,962;40
7189;11106,962;40
23;5223,292;40
26;5223,292;40
329;5223,292;40
334;5223,292;40
339;5223,292;40
2055;5223,292;40
2338;5223,292;40
3480;5223,292;40
5005;5223,292;40
5322;5223,292;40
6218;5223,292;40
6224;5223,292;40
24;7165,102;40
764;7165,102;40
1200;7165,102;40
2056;7165,102;40
2909;7165,102;40
3498;7165,102;40
4993;7165,102;40
6220;7165,102;40
1215;16271,259;40
23;1229,626;41
26;1229,626;41
329;1229,626;41
334;1229,626;41
339;1229,626;41
2055;1229,626;41
2338;1229,626;41
3480;1229,626;41
5005;1229,626;41
5322;1229,626;41
6218;1229,626;41
6224;1229,626;41
24;2051,686;41
764;2051,686;41
1200;2051,686;41
2056;2051,686;41
2909;2051,686;41
3498;2051,686;41
4993;2051,686;41
6220;2051,686;41
52;6743,318;41
333;6743,318;41
1204;6743,318;41
2054;6743,318;41
3487;6743,318;41
3494;6743,318;41
4437;6743,318;41
4994;6743,318;41
5317;6743,318;41
5320;6743,318;41
7189;6743,318;41
335;5305,421;41
1203;5305,421;41
2057;5305,421;41
2058;5305,421;41
3481;5305,421;41
7187;5305,421;41
7195;5305,421;41
7736;5305,421;41
1215;13119,582;41
23;1026,229;42
26;1026,229;42
329;1026,229;42
334;1026,229;42
339;1026,229;42
2055;1026,229;42
2338;1026,229;42
3480;1026,229;42
5005;1026,229;42
5322;1026,229;42
6218;1026,229;42
6224;1026,229;42
24;1879,247;42
764;1879,247;42
1200;1879,247;42
2056;1879,247;42
2909;1879,247;42
3498;1879,247;42
4993;1879,247;42
6220;1879,247;42
52;6856,718;42
333;6856,718;42
1204;6856,718;42
2054;6856,718;42
3487;6856,718;42
3494;6856,718;42
4437;6856,718;42
4994;6856,718;42
5317;6856,718;42
5320;6856,718;42
7189;6856,718;42
335;5387,826;42
1203;5387,826;42
2057;5387,826;42
2058;5387,826;42
3481;5387,826;42
7187;5387,826;42
7195;5387,826;42
7736;5387,826;42
1215;12881,521;42
23;645,177;43
26;645,177;43
329;645,177;43
334;645,177;43
339;645,177;43
2055;645,177;43
2338;645,177;43
3480;645,177;43
5005;645,177;43
5322;645,177;43
6218;645,177;43
6224;645,177;43
24;1766,007;43
764;1766,007;43
1200;1766,007;43
2056;1766,007;43
2909;1766,007;43
3498;1766,007;43
4993;1766,007;43
6220;1766,007;43
52;7169,642;43
333;7169,642;43
1204;7169,642;43
2054;7169,642;43
3487;7169,642;43
3494;7169,642;43
4437;7169,642;43
4994;7169,642;43
5317;7169,642;43
5320;7169,642;43
7189;7169,642;43
335;5405,233;43
1203;5405,233;43
2057;5405,233;43
2058;5405,233;43
3481;5405,233;43
7187;5405,233;43
