Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Burgos;09159;2022;0;2;0;3;0;2;2;8;9;2;4;5;8;6;5;6;4;0;4;2;0;5;46;21;4,200;0,565
Burgos;09159;2023;0;1;1;0;1;0;5;6;5;2;5;3;11;8;3;8;4;0;3;2;1;2;46;21;10,500;0,500
Burgos;09160;2021;0;0;4;3;5;2;4;2;2;9;4;7;7;4;7;5;7;12;4;1;2;8;45;38;4,750;1,022
Burgos;09160;2022;0;0;5;2;4;5;4;3;4;5;7;8;5;6;6;4;10;8;6;1;2;8;50;37;4,625;0,900
Burgos;09160;2023;0;0;4;3;3;6;4;3;4;3;9;9;5;6;5;4;7;8;6;2;2;8;51;34;4,250;0,824
Burgos;09162;2021;0;6;6;2;1;5;12;11;14;7;8;5;13;15;16;9;5;5;3;0;0;14;91;38;2,714;0,571
Burgos;09162;2022;0;7;8;3;0;3;12;8;20;11;10;7;13;13;15;13;4;2;7;0;0;18;97;41;2,278;0,608
Burgos;09162;2023;0;7;7;7;1;4;11;12;19;16;11;8;8;17;12;13;6;3;7;0;0;21;107;41;1,952;0,579
Burgos;09163;2021;1;14;12;8;16;24;33;23;25;33;36;37;68;52;33;38;45;51;53;30;8;37;344;259;7,000;0,860
Burgos;09163;2022;1;10;11;8;14;26;27;25;21;35;29;43;58;58;34;34;51;48;44;35;9;32;333;256;8,000;0,865
Burgos;09163;2023;1;7;14;7;16;22;31;23;27;26;25;37;56;65;39;34;46;45;47;41;7;31;325;260;8,387;0,895
Burgos;09164;2021;0;3;2;1;5;6;5;12;9;8;13;11;17;13;8;9;19;13;8;7;1;7;98;65;9,286;0,735
Burgos;09164;2022;0;1;5;1;5;5;5;10;12;9;13;5;19;12;8;13;16;13;11;3;2;8;94;66;8,250;0,787
Burgos;09164;2023;0;4;2;1;6;5;7;11;11;10;11;8;16;18;10;10;15;10;11;6;1;8;102;63;7,875;0,696
Burgos;09166;2021;0;0;0;3;2;4;1;1;3;3;4;16;14;9;8;7;8;4;9;1;1;3;57;38;12,667;0,719
