Provincia;CMuni;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05187;2021;1071;1068;2139;50,070;49,930
Avila;05187;2022;1066;1070;2136;49,906;50,094
Avila;05187;2023;1074;1079;2153;49,884;50,116
Avila;05188;2021;23;15;38;60,526;39,474
Avila;05188;2022;24;19;43;55,814;44,186
Avila;05188;2023;19;15;34;55,882;44,118
Avila;05189;2021;237;196;433;54,734;45,266
Avila;05189;2022;262;214;476;55,042;44,958
Avila;05189;2023;274;223;497;55,131;44,869
Avila;05190;2021;29;19;48;60,417;39,583
Avila;05190;2022;29;20;49;59,184;40,816
Avila;05190;2023;37;22;59;62,712;37,288
Avila;05191;2021;72;56;128;56,250;43,750
Avila;05191;2022;76;56;132;57,576;42,424
Avila;05191;2023;71;51;122;58,197;41,803
Avila;05192;2021;70;43;113;61,947;38,053
Avila;05192;2022;70;41;111;63,063;36,937
Avila;05192;2023;61;39;100;61,000;39,000
Avila;05193;2021;95;73;168;56,548;43,452
Avila;05193;2022;91;70;161;56,522;43,478
Avila;05193;2023;91;69;160;56,875;43,125
Avila;05194;2021;78;53;131;59,542;40,458
Avila;05194;2022;80;54;134;59,701;40,299
Avila;05194;2023;80;51;131;61,069;38,931
Avila;05195;2021;118;77;195;60,513;39,487
Avila;05195;2022;124;74;198;62,626;37,374
Avila;05195;2023;123;76;199;61,809;38,191
Avila;05196;2021;32;35;67;47,761;52,239
Avila;05196;2022;25;31;56;44,643;55,357
Avila;05196;2023;29;33;62;46,774;53,226
Avila;05197;2021;65;54;119;54,622;45,378
Avila;05197;2022;63;51;114;55,263;44,737
Avila;05197;2023;63;52;115;54,783;45,217
Avila;05198;2021;34;34;68;50,000;50,000
Avila;05198;2022;40;39;79;50,633;49,367
Avila;05198;2023;39;38;77;50,649;49,351
Avila;05199;2021;21;22;43;48,837;51,163
Avila;05199;2022;25;22;47;53,191;46,809
Avila;05199;2023;29;25;54;53,704;46,296
Avila;05200;2021;24;16;40;60,000;40,000
Avila;05200;2022;22;17;39;56,410;43,590
Avila;05200;2023;21;16;37;56,757;43,243
Avila;05201;2021;285;238;523;54,493;45,507
Avila;05201;2022;284;228;512;55,469;44,531
Avila;05201;2023;278;225;503;55,268;44,732
Avila;05204;2021;373;356;729;51,166;48,834
Avila;05204;2022;367;346;713;51,473;48,527
Avila;05204;2023;369;341;710;51,972;48,028
Avila;05205;2021;42;43;85;49,412;50,588
Avila;05205;2022;42;43;85;49,412;50,588
Avila;05205;2023;44;40;84;52,381;47,619
Avila;05206;2021;15;8;23;65,217;34,783
Avila;05206;2022;14;7;21;66,667;33,333
Avila;05206;2023;13;7;20;65,000;35,000
Avila;05207;2021;385;350;735;52,381;47,619
Avila;05207;2022;394;365;759;51,910;48,090
Avila;05207;2023;382;360;742;51,482;48,518
Avila;05208;2021;25;20;45;55,556;44,444
Avila;05208;2022;21;19;40;52,500;47,500
Avila;05208;2023;22;17;39;56,410;43,590
Avila;05209;2021;45;26;71;63,380;36,620
Avila;05209;2022;44;22;66;66,667;33,333
Avila;05209;2023;45;24;69;65,217;34,783
