Provincia;CMuni;CUSEC;area_km2
Burgos;09208;0920801001;59,589
Burgos;09209;0920901001;8,467
Burgos;09209;0920901002;0,426
Burgos;09209;0920901003;194,901
Burgos;09209;0920901004;8,048
Burgos;09209;0920901005;2,029
Burgos;09211;0921101001;109,138
Burgos;09213;0921301001;122,195
Burgos;09214;0921401001;99,995
Burgos;09215;0921501001;153,229
Burgos;09216;0921601001;120,086
Burgos;09217;0921701001;128,996
Burgos;09218;0921801001;22,010
Burgos;09219;0921901001;0,474
Burgos;09219;0921901002;0,716
Burgos;09219;0921902001;0,072
Burgos;09219;0921902002;0,051
Burgos;09219;0921902003;0,032
Burgos;09219;0921902004;0,037
Burgos;09219;0921902005;0,043
Burgos;09219;0921902006;1,291
Burgos;09219;0921902007;0,058
Burgos;09219;0921903001;0,025
Burgos;09219;0921903002;0,046
Burgos;09219;0921903003;0,036
Burgos;09219;0921903004;0,307
Burgos;09219;0921903005;0,049
Burgos;09219;0921903006;0,032
Burgos;09219;0921903007;0,104
Burgos;09219;0921903008;0,060
Burgos;09219;0921903009;0,037
Burgos;09219;0921903010;0,082
Burgos;09219;0921903011;0,054
Burgos;09219;0921903012;0,041
Burgos;09219;0921903013;0,074
Burgos;09219;0921903014;0,097
Burgos;09219;0921903015;0,028
Burgos;09219;0921903016;0,084
Burgos;09219;0921903017;0,066
Burgos;09219;0921903018;0,045
Burgos;09219;0921904001;46,216
Burgos;09219;0921904002;50,256
Burgos;09219;0921904003;0,728
Burgos;09220;0922001001;22,686
Burgos;09221;0922101001;11,799
Burgos;09223;0922301001;5,890
Burgos;09224;0922401001;37,107
Burgos;09225;0922501001;26,735
Burgos;09226;0922601001;15,100
Burgos;09227;0922701001;23,516
Burgos;09228;0922801001;13,796
Burgos;09229;0922901001;22,332
Burgos;09230;0923001001;8,789
Burgos;09231;0923101001;28,408
Burgos;09232;0923201001;68,508
Burgos;09235;0923501001;26,011
Burgos;09236;0923601001;7,037
Burgos;09238;0923801001;161,517
Burgos;09239;0923901001;14,975
Burgos;09241;0924101001;9,335
Burgos;09242;0924201001;27,746
Burgos;09243;0924301001;23,104
Burgos;09244;0924401001;20,315
Burgos;09246;0924601001;70,340
Burgos;09247;0924701001;10,333
Burgos;09248;0924801001;15,725
Burgos;09249;0924901001;8,685
Burgos;09250;0925001001;24,256
Burgos;09251;0925101001;58,337
Burgos;09253;0925301001;15,186
Burgos;09255;0925501001;29,788
Burgos;09256;0925601001;69,816
Burgos;09257;0925701001;11,322
Burgos;09258;0925801001;28,395
Burgos;09259;0925901001;49,026
Burgos;09261;0926101001;64,488
Burgos;09262;0926201001;29,006
Burgos;09265;0926501001;13,392
Burgos;09266;0926601001;68,712
Burgos;09267;0926701001;28,150
Burgos;09268;0926801001;32,494
Burgos;09269;0926901001;11,004
Burgos;09270;0927001001;68,267
Burgos;09272;0927201001;81,842
Burgos;09273;0927301001;10,776
Burgos;09274;0927401001;30,521
Burgos;09275;0927501001;35,327
Burgos;09276;0927601001;18,615
Burgos;09277;0927701001;16,375
Burgos;09279;0927901001;20,819
Burgos;09280;0928001001;12,355
Burgos;09281;0928101001;10,728
Burgos;09283;0928301001;17,457
Burgos;09287;0928701001;5,570
Burgos;09288;0928801001;15,862
Burgos;09289;0928901001;11,301
Burgos;09289;0928901002;48,585
Burgos;09292;0929201001;11,656
Burgos;09294;0929401001;13,793
Burgos;09295;0929501001;20,078
Burgos;09297;0929701001;24,766
Burgos;09298;0929801001;45,717
Burgos;09301;0930101001;13,372
Burgos;09302;0930201001;33,217
Burgos;09303;0930301001;40,604
Burgos;09304;0930401001;10,183
Burgos;09306;0930601001;50,482
Burgos;09307;0930701001;12,090
Burgos;09308;0930801001;17,189
Burgos;09309;0930901001;20,650
Burgos;09310;0931001001;8,498
Burgos;09311;0931101001;8,530
Burgos;09312;0931201001;15,275
Burgos;09314;0931401001;39,008
Burgos;09315;0931501001;16,969
Burgos;09316;0931601001;27,446
Burgos;09317;0931701001;6,699
Burgos;09318;0931801001;43,282
Burgos;09321;0932101001;1,255
Burgos;09321;0932101002;47,697
Burgos;09323;0932301001;24,909
Burgos;09325;0932501001;50,581
Burgos;09326;0932601001;9,761
Burgos;09327;0932701001;39,266
Burgos;09328;0932801001;32,609
Burgos;09329;0932901001;13,292
Burgos;09330;0933001001;31,297
Burgos;09332;0933201001;8,144
Burgos;09334;0933401001;22,814
Burgos;09335;0933501001;19,872
Burgos;09337;0933701001;26,477
Burgos;09338;0933801001;4,959
Burgos;09339;0933901001;19,391
Burgos;09340;0934001001;33,590
Burgos;09343;0934301001;12,450
Burgos;09345;0934501001;25,840
Burgos;09346;0934601001;33,897
Burgos;09347;0934701001;28,956
Burgos;09348;0934801001;14,856
Burgos;09350;0935001001;60,280
Burgos;09351;0935101001;16,168
Burgos;09352;0935201001;30,186
Burgos;09353;0935301001;12,473
Burgos;09354;0935401001;10,731
Burgos;09355;0935501001;22,234
