Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05019;0501902001;2021;3,7;19,7;28,5;1,4;46,9
Avila;05019;0501902001;2022;4;18,5;29,4;0,8;47,4
Avila;05019;0501902001;2023;3,9;19,3;28,8;0,7;47,3
Avila;05019;0501902002;2021;3,9;13,7;39,3;1,1;42
Avila;05019;0501902002;2022;3,7;15,1;38,5;0,9;41,8
Avila;05019;0501902002;2023;3,7;16,8;37,3;0,8;41,3
Avila;05019;0501903001;2021;2,6;14;31,3;1,7;50,4
Avila;05019;0501903001;2022;2,7;13,8;31,8;0,9;50,8
Avila;05019;0501903001;2023;3;13,5;33,9;1,1;48,5
Avila;05019;0501903002;2021;2,2;12,7;23;1,4;60,7
Avila;05019;0501903002;2022;2,3;13,9;23,7;1;59,1
Avila;05019;0501903002;2023;2,3;14;24,3;0,9;58,5
Avila;05019;0501904001;2021;3,5;8;20,2;2,9;65,4
Avila;05019;0501904001;2022;3,4;7,7;20,2;2;66,8
Avila;05019;0501904001;2023;3,4;7,8;20;1,8;67
Avila;05019;0501904002;2021;4,9;10,4;28,7;2,4;53,5
Avila;05019;0501904002;2022;4,5;9,3;30,4;1,2;54,6
Avila;05019;0501904002;2023;4,9;9,1;28,9;1,2;55,8
Avila;05019;0501904003;2021;4,7;5,6;28,6;3,5;57,6
Avila;05019;0501904003;2022;4,7;6,6;28,9;2;57,8
Avila;05019;0501904003;2023;6,1;6,5;30,2;1,9;55,3
Avila;05019;0501904004;2021;6;5,9;30,2;4,5;53,5
Avila;05019;0501904004;2022;6;5;31,1;2,1;55,8
Avila;05019;0501904004;2023;6,2;5,5;29,3;2,3;56,7
Avila;05019;0501904005;2021;8,7;4,2;32,7;4,4;50
Avila;05019;0501904005;2022;9,1;3,5;33,5;2,8;51,1
Avila;05019;0501904005;2023;10,5;4;31,2;2,4;51,9
Avila;05019;0501904006;2021;4,9;5,4;33,3;3,2;53,1
Avila;05019;0501904006;2022;5,3;5,3;33,2;1,9;54,4
Avila;05019;0501904006;2023;6,3;5,4;32,7;1,8;53,8
Avila;05019;0501904008;2021;4,1;9,8;15,9;2,4;67,8
Avila;05019;0501904008;2022;4;9,6;18,3;1,4;66,8
Avila;05019;0501904008;2023;4,7;9,7;17,8;1,2;66,7
Avila;05019;0501904009;2021;4,3;6,6;24,3;2,6;62,3
Avila;05019;0501904009;2022;4,2;6,2;25,3;1,5;62,9
Avila;05019;0501904009;2023;4,7;6,7;26;1,4;61,2
Avila;05019;0501904010;2021;3,5;5,7;19,4;3;68,5
Avila;05019;0501904010;2022;3,4;6;20,7;2,1;67,7
Avila;05019;0501904010;2023;2,9;5,6;22,4;1,8;67,4
Avila;05019;0501904011;2021;5,8;7,7;13,3;4,2;69,1
Avila;05019;0501904011;2022;5;7,1;14,2;2,4;71,3
Avila;05019;0501904011;2023;5,3;5;14,4;2,1;73,2
Avila;05019;0501904012;2021;3,8;8,2;6,3;3,6;78,2
Avila;05019;0501904012;2022;3,8;8,2;6,6;2;79,5
Avila;05019;0501904012;2023;4,1;8,3;6,7;1,7;79,1
Avila;05019;0501904013;2021;3;8,6;11,6;2,3;74,5
Avila;05019;0501904013;2022;2,6;8,5;13,2;1,5;74,2
Avila;05019;0501904013;2023;2,5;8,7;13;1,2;74,7
Avila;05019;0501904014;2021;4;6,5;12,7;3,1;73,7
Avila;05019;0501904014;2022;4;6,5;13,8;1,8;73,9
Avila;05019;0501904014;2023;4,2;6,7;15,3;1,5;72,4
Avila;05019;0501905001;2021;4,2;9,1;33,5;2,8;50,4
Avila;05019;0501905001;2022;4,6;8,2;34,9;1,8;50,6
Avila;05019;0501905001;2023;4,8;8,5;35,6;2;49,1
Avila;05019;0501905002;2021;4,9;10,7;31,9;1,9;50,5
Avila;05019;0501905002;2022;4,7;10,6;32,8;1,2;50,8
Avila;05019;0501905002;2023;4,8;10,5;33;0,9;50,7
Avila;05019;0501905003;2021;3,8;8,9;34,5;1,7;51,1
Avila;05019;0501905003;2022;3,7;7,8;35,9;1;51,7
Avila;05019;0501905003;2023;4,1;8,6;36,1;0,8;50,4
Avila;05019;0501905004;2021;4,7;6,9;17,8;3;67,6
Avila;05019;0501905004;2022;4,6;6,3;18,6;2,2;68,4
Avila;05019;0501905004;2023;4,7;6,4;19,3;1,9;67,7
Avila;05019;0501905005;2021;4,1;6,2;26,9;3,5;59,3
Avila;05019;0501905005;2022;3,7;5,7;29,5;2,1;59,1
Avila;05019;0501905005;2023;4,2;5,7;27;1,8;61,2
Avila;05019;0501905006;2021;3,2;6,2;8,9;3,2;78,5
Avila;05019;0501905006;2022;3,1;6,7;9,3;1,9;79,1
Avila;05019;0501905006;2023;3,4;6,9;9,7;1,7;78,3
Avila;05019;0501906001;2021;3,8;17,1;35,7;1,3;42,1
Avila;05019;0501906001;2022;4;18;36,2;0,8;41
Avila;05019;0501906001;2023;4,2;18,6;36,3;0,6;40,4
Avila;05019;0501906002;2021;5,8;10,3;31,2;2,6;50,1
Avila;05019;0501906002;2022;5,3;9,9;29,9;1,8;53,1
Avila;05019;0501906002;2023;5,3;9;29,8;1,8;54,1
Avila;05019;0501906003;2021;3;9,6;5,3;1,7;80,4
Avila;05019;0501906003;2022;2,9;9,6;6;1,2;80,3
Avila;05019;0501906003;2023;2,8;9,6;5,9;1;80,6
Avila;05019;0501906004;2021;7,2;5,2;28,7;4,2;54,8
Avila;05019;0501906004;2022;6,5;4,4;27,4;2,9;58,8
Avila;05019;0501906004;2023;6,9;5,8;26,4;2,6;58,3
Avila;05019;0501906005;2021;5,7;5,2;40,4;3,5;45,3
Avila;05019;0501906005;2022;6,1;5,7;41,1;2,2;45
Avila;05019;0501906005;2023;6,1;5,1;40,5;2,2;46,1
Avila;05019;0501906006;2021;6;4,5;41,1;3,3;45,1
Avila;05019;0501906006;2022;5,5;5,1;39,9;2,3;47,2
Avila;05019;0501906006;2023;5,7;4,1;39,5;1,9;48,8
Avila;05019;0501906008;2021;4,3;6,6;35,3;2,2;51,5
Avila;05019;0501906008;2022;4,6;5,7;35,9;1,6;52,2
